aprovacao_id,ano_vestibular,aluno_id,universidade,curso_aprovado,modalidade_vaga,chamada,bolsa_aprovacao,data_resultado,nota_final_vestibular,campus
V000242,2024,A00615,UFCA,Medicina,Ampla Concorrência,1ª chamada,Sim,2024-01-04,752.4,Juazeiro
V000243,2024,A00624,UECE,Arquitetura,Ampla Concorrência,1ª chamada,Parcial,2024-02-23,775.5,Juazeiro
V000244,2024,A00628,UFRN,Engenharia de Software,Cota escola pública,2ª chamada,Sim,2024-03-25,868.0,Juazeiro
V000245,2024,A00633,IFCE,Administração,PPI,Vestibular próprio,Sim,2024-02-19,743.9,Fortaleza
V000246,2024,A00638,UECE,Odontologia,PPI,Lista de espera,Não,2024-12-08,744.1,Sobral
V000247,2024,A00646,UERN,Engenharia de Software,Cota escola pública,SISU,Sim,2024-01-06,661.6,Crateús
V000248,2024,A00666,UFRN,Odontologia,Ampla Concorrência,1ª chamada,Não,2024-12-03,777.0,Sobral
V000249,2024,A00667,UFC,Economia,Ampla Concorrência,SISU,Sim,2024-02-19,673.3,Quixadá
V000250,2024,A00706,UNILAB,Enfermagem,Ampla Concorrência,2ª chamada,Não Informado,2024-03-07,862.8,Sobral
V000251,2024,A00716,UVA,Engenharia Civil,Ampla Concorrência,Vestibular próprio,Sim,2024-01-23,705.5,Crateús
V000252,2024,A00723,UVA,Psicologia,Não Informado,SISU,Não,2024-01-02,779.1,Sobral
V000253,2024,A00724,UFC,Direito,Não Informado,Lista de espera,Não,2024-01-17,802.6,Sobral
V000254,2024,A00725,UERN,Enfermagem,Ampla Concorrência,Lista de espera,Parcial,2024-01-25,642.1,Não Informado
V000255,2024,A00745,UNIFOR,Psicologia,PCD,Lista de espera,Não Informado,2024-03-13,930.1,Sobral
V000256,2024,A00759,UERN,Administração,PCD,SISU,Não,2024-03-26,790.3,Sobral
V000257,2024,A00763,UNILAB,Arquitetura,Ampla Concorrência,SISU,Parcial,2024-01-15,783.1,Crateús
V000258,2024,A00779,UFRN,Economia,Ampla Concorrência,2ª chamada,Sim,2024-01-13,670.6,Fortaleza
V000259,2024,A00784,UFRN,Fisioterapia,PCD,Vestibular próprio,Sim,2024-01-27,693.1,Sobral
V000260,2025,A00008,UFPE,Medicina,Ampla Concorrência,SISU,Parcial,2025-02-07,525.8,Crateús
V000261,2025,A00017,IFCE,Medicina,PPI,Vestibular próprio,Parcial,2025-02-03,730.0,Quixadá
V000262,2025,A00021,UECE,Administração,Não Informado,2ª chamada,Parcial,2025-12-08,744.5,Quixadá
V000263,2025,A00037,UFC,Medicina,PCD,SISU,Não,2025-02-12,617.5,Crateús
V000264,2025,A00047,UFRN,Enfermagem,Ampla Concorrência,Lista de espera,Parcial,2025-07-12,709.2,Crateús
V000265,2025,A00049,UFCA,Fisioterapia,PPI,2ª chamada,Sim,2025-01-16,782.9,Sobral
V000266,2025,A00051,UFC,Design,Cota escola pública,Vestibular próprio,Não,2025-03-17,710.7,Juazeiro
V000267,2025,A00059,UERN,Economia,PCD,Vestibular próprio,Não,2025-01-19,786.2,Quixadá
V000268,2025,A00062,UFC,Ciência da Computação,PCD,2ª chamada,Parcial,2025-03-13,777.4,Juazeiro
V000269,2025,A00068,IFCE,Direito,Cota escola pública,1ª chamada,Sim,2025-12-17,623.1,Juazeiro
V000270,2025,A00081,UVA,Medicina,Ampla Concorrência,Lista de espera,Parcial,2025-02-03,742.2,Fortaleza
V000271,2025,A00082,UERN,Medicina,PPI,2ª chamada,Não,2025-01-17,604.8,Fortaleza
V000272,2025,A00086,UVA,Direito,Ampla Concorrência,Lista de espera,Parcial,2025-12-18,790.1,Quixadá
V000273,2025,A00087,UFRN,Enfermagem,Ampla Concorrência,SISU,Não,2025-03-20,722.0,Não Informado
V000274,2025,A00096,UNILAB,Arquitetura,Ampla Concorrência,SISU,Parcial,2025-01-21,713.1,Juazeiro
V000275,2025,A00107,UFCA,Engenharia de Software,Não Informado,SISU,Não Informado,2025-03-05,739.8,Não Informado
V000276,2025,A00109,UFRN,Psicologia,Não Informado,1ª chamada,Sim,2025-03-26,728.3,Juazeiro
V000277,2025,A00111,UECE,Fisioterapia,Ampla Concorrência,Lista de espera,Sim,2025-02-09,771.6,Juazeiro
V000278,2025,A00130,UNILAB,Direito,Ampla Concorrência,Vestibular próprio,Não,2025-12-13,638.5,Fortaleza
V000279,2025,A00133,UNILAB,Direito,PCD,SISU,Parcial,2025-12-24,894.6,Quixadá
V000280,2025,A00149,UFC,Design,Ampla Concorrência,1ª chamada,Não Informado,2025-12-14,795.7,Crateús
V000281,2025,A00152,IFCE,Design,Ampla Concorrência,SISU,Sim,2025-01-12,745.2,Quixadá
V000282,2025,A00173,UVA,Odontologia,Ampla Concorrência,Lista de espera,Não Informado,2025-12-19,591.5,Não Informado
V000283,2025,A00202,IFCE,Medicina,PPI,Vestibular próprio,Não,2025-12-21,650.4,Fortaleza
V000284,2025,A00209,UFRN,Design,Cota escola pública,Vestibular próprio,Não,2025-03-20,832.2,Juazeiro
V000285,2025,A00220,UVA,Economia,Cota escola pública,2ª chamada,Não,2025-02-21,736.4,Quixadá
V000286,2025,A00223,UFRN,Engenharia de Software,PCD,1ª chamada,Sim,2025-03-17,701.0,Juazeiro
V000287,2025,A00226,UFC,Design,Não Informado,2ª chamada,Não Informado,2025-02-24,795.5,Fortaleza
V000288,2025,A00238,UVA,Economia,PPI,1ª chamada,Sim,2025-03-01,686.9,Juazeiro
V000289,2025,A00252,UNIFOR,Arquitetura,PCD,SISU,Não Informado,2025-03-11,657.7,Quixadá
V000290,2025,A00254,UERN,Odontologia,Ampla Concorrência,2ª chamada,Sim,2025-01-23,827.9,Sobral
V000291,2025,A00259,UFC,Odontologia,Ampla Concorrência,SISU,Sim,2025-02-26,735.7,Não Informado
V000292,2025,A00263,IFCE,Fisioterapia,Não Informado,1ª chamada,Não Informado,2025-02-13,870.9,Juazeiro
V000293,2025,A00274,IFCE,Administração,Não Informado,Vestibular próprio,Sim,2025-03-01,711.5,Não Informado
V000294,2025,A00286,UNILAB,Administração,Ampla Concorrência,SISU,Sim,2025-01-09,497.5,Juazeiro
V000295,2025,A00297,IFCE,Engenharia Civil,PPI,1ª chamada,Sim,2025-12-27,606.0,Juazeiro
V000296,2025,A00300,UFC,Engenharia Civil,Não Informado,2ª chamada,Sim,2025-01-07,738.0,Fortaleza
V000297,2025,A00305,UECE,Enfermagem,Ampla Concorrência,SISU,Sim,2025-01-01,774.2,Não Informado
V000298,2025,A00331,UERN,Medicina,Cota escola pública,2ª chamada,Parcial,2025-01-21,861.0,Não Informado
V000299,2025,A00357,UNILAB,Direito,Não Informado,Vestibular próprio,Sim,2025-01-09,475.4,Não Informado
V000300,2025,A00367,UFC,Jornalismo,PPI,Vestibular próprio,Não Informado,2025-02-01,597.9,Não Informado
V000301,2025,A00379,UFC,Economia,Ampla Concorrência,Vestibular próprio,Sim,2025-02-04,677.9,Quixadá
V000302,2025,A00385,UECE,Odontologia,PCD,1ª chamada,Não Informado,2025-02-11,768.0,Fortaleza
V000303,2025,A00387,UFPE,Design,Cota escola pública,Vestibular próprio,Não,2025-12-20,758.9,Não Informado
V000304,2025,A00389,UFPE,Medicina,PCD,Vestibular próprio,Sim,2025-12-24,770.8,Não Informado
V000305,2025,A00416,UECE,Arquitetura,Ampla Concorrência,SISU,Não,2025-01-22,735.0,Sobral
V000306,2025,A00423,IFCE,Arquitetura,Ampla Concorrência,2ª chamada,Parcial,2025-12-16,653.7,Não Informado
V000307,2025,A00424,UNILAB,Engenharia de Software,Cota escola pública,Vestibular próprio,Não,2025-12-21,861.5,Não Informado
V000308,2025,A00450,UFC,Economia,Ampla Concorrência,Lista de espera,Sim,2025-12-25,776.7,Não Informado
V000309,2025,A00467,UECE,Arquitetura,Ampla Concorrência,SISU,Não Informado,2025-01-11,796.4,Não Informado
V000310,2025,A00469,UFPE,Odontologia,Ampla Concorrência,2ª chamada,Não Informado,2025-01-22,900.4,Crateús
V000311,2025,A00473,UNILAB,Jornalismo,PPI,1ª chamada,Não Informado,2025-02-21,803.8,Não Informado
V000312,2025,A00485,UNILAB,Jornalismo,Ampla Concorrência,SISU,Sim,2025-01-18,708.8,Sobral
V000313,2025,A00504,UNIFOR,Design,PCD,1ª chamada,Sim,2025-02-10,664.3,Fortaleza
V000314,2025,A00512,UNILAB,Jornalismo,Ampla Concorrência,SISU,Parcial,2025-02-15,686.0,Não Informado
V000315,2025,A00519,UVA,Ciência da Computação,Cota escola pública,Lista de espera,Não,2025-03-20,829.9,Não Informado
V000316,2025,A00541,UECE,Psicologia,Cota escola pública,SISU,Sim,2025-01-03,802.4,Não Informado
V000317,2025,A00580,UECE,Engenharia de Software,Não Informado,SISU,Sim,2025-01-20,694.8,Crateús
V000318,2025,A00581,UNILAB,Direito,PCD,SISU,Parcial,2025-02-27,763.4,Não Informado
V000319,2025,A00589,UERN,Arquitetura,PCD,SISU,Não,2025-01-06,675.9,Crateús
V000320,2025,A00612,UFCA,Fisioterapia,PPI,Vestibular próprio,Não Informado,2025-12-23,747.5,Quixadá
V000321,2025,A00615,UECE,Jornalismo,Não Informado,Vestibular próprio,Parcial,2025-12-07,675.7,Sobral
V000322,2025,A00620,UVA,Jornalismo,Ampla Concorrência,2ª chamada,Sim,2025-02-11,619.3,Juazeiro
V000323,2025,A00641,UECE,Arquitetura,Ampla Concorrência,Lista de espera,Sim,2025-02-14,633.1,Quixadá
V000324,2025,A00644,UERN,Engenharia de Software,PCD,SISU,Não Informado,2025-03-18,689.6,Quixadá
V000325,2025,A00645,UFC,Engenharia de Software,Cota escola pública,1ª chamada,Parcial,2025-02-11,714.2,Fortaleza
V000326,2025,A00649,UFC,Psicologia,PCD,SISU,Sim,2025-03-20,652.8,Crateús
V000327,2025,A00660,UFRN,Administração,Ampla Concorrência,SISU,Não,2025-01-23,697.5,Não Informado
V000328,2025,A00663,UNILAB,Direito,PCD,2ª chamada,Não,2025-01-25,761.7,Fortaleza
V000329,2025,A00664,UFC,Direito,Ampla Concorrência,Lista de espera,Sim,2025-03-26,690.5,Quixadá
V000330,2025,A00684,UECE,Arquitetura,Ampla Concorrência,2ª chamada,Sim,2025-02-07,744.3,Quixadá
V000331,2025,A00700,UVA,Fisioterapia,Ampla Concorrência,2ª chamada,Sim,2025-02-02,712.3,Juazeiro
V000332,2025,A00704,UFCA,Enfermagem,Cota escola pública,Lista de espera,Não Informado,2025-12-28,532.2,Crateús
V000333,2025,A00705,IFCE,Enfermagem,Ampla Concorrência,SISU,Não,2025-01-23,695.4,Quixadá
V000334,2025,A00706,UFC,Direito,PPI,2ª chamada,Parcial,2025-02-12,718.8,Juazeiro
V000335,2025,A00723,UFC,Psicologia,Cota escola pública,1ª chamada,Não Informado,2025-03-18,815.1,Crateús
V000336,2025,A00728,UNIFOR,Design,PPI,Vestibular próprio,Não,2025-01-13,493.3,Não Informado
V000337,2025,A00743,UNIFOR,Administração,PPI,2ª chamada,Sim,2025-01-07,811.1,Juazeiro
V000338,2025,A00761,UFPE,Engenharia Civil,Não Informado,2ª chamada,Parcial,2025-01-17,773.5,Fortaleza
V000339,2025,A00768,UFC,Administração,Cota escola pública,1ª chamada,Parcial,2025-02-04,947.7,Crateús
